movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,Babe (1995),Children|Drama
34,Carrington (1995),Drama|Romance
35,Dead Man Walking (1995),Crime|Drama
36,It Takes Two (1995),Children|Comedy
37,Clueless (1995),Comedy|Romance
38,"Cry, the Beloved Country (1995)",Drama
39,Richard III (1995),Drama|War
40,Dead Presidents (1995),Action|Crime|Drama
41,Restoration (1995),Drama
42,Mortal Kombat (1995),Action|Adventure|Fantasy
43,To Die For (1995),Comedy|Drama|Thriller
44,How to Make an American Quilt (1995),Drama|Romance
45,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
46,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
47,When Night Is Falling (1995),Drama|Romance
48,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
49,Mighty Aphrodite (1995),Comedy|Drama|Romance
50,Lamerica (1994),Adventure|Drama
51,"Big Green, The (1995)",Children|Comedy
52,Georgia (1995),Drama
53,Home for the Holidays (1995),Drama
54,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
55,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
56,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
57,Eye for an Eye (1996),Drama|Thriller
58,Mr. Holland's Opus (1995),Drama
59,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
60,Two if by Sea (1996),Comedy|Romance
61,Bio-Dome (1996),Comedy
62,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
63,Two Bits (1995),Drama
64,French Twist (Gazon maudit) (1995),Comedy|Romance
65,Friday (1995),Comedy
66,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
67,Fair Game (1995),Action
68,Kicking and Screaming (1995),Comedy|Drama
69,"Misérables, Les (1995)",Drama|War
70,Bed of Roses (1996),Drama|Romance
71,Big Bully (1996),Comedy|Drama
72,Screamers (1995),Action|Sci-Fi|Thriller
73,Nico Icon (1995),Documentary
74,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
75,"Juror, The (1996)",Drama|Thriller
76,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
77,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
78,Antonia's Line (Antonia) (1995),Comedy|Drama
79,Once Upon a Time... When We Were Colored (1995),Drama|Romance
80,Last Summer in the Hamptons (1995),Comedy|Drama
81,Angels and Insects (1995),Drama|Romance
82,White Squall (1996),Action|Adventure|Drama
83,Dunston Checks In (1996),Children|Comedy
84,Black Sheep (1996),Comedy
85,Nick of Time (1995),Action|Thriller
86,The Journey of August King (1995),Drama
87,Mary Reilly (1996),Drama|Horror|Thriller
88,Vampire in Brooklyn (1995),Comedy|Horror|Romance
89,Beautiful Girls (1996),Comedy|Drama|Romance
90,Broken Arrow (1996),Action|Adventure|Thriller
91,In the Bleak Midwinter (1995),Comedy|Drama
92,"Hate (Haine, La) (1995)",Crime|Drama
93,Heidi Fleiss: Hollywood Madam (1995),Documentary
94,City Hall (1996),Drama|Thriller
95,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
96,Mr. Wrong (1996),Comedy
97,Unforgettable (1996),Mystery|Sci-Fi|Thriller
98,Happy Gilmore (1996),Comedy
99,"Bridges of Madison County, The (1995)",Drama|Romance
100,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
101,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
102,Catwalk (1996),Documentary
103,Braveheart (1995),Action|Drama|War
104,Taxi Driver (1976),Crime|Drama|Thriller
105,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
106,Before and After (1996),Drama|Mystery
107,Margaret's Museum (1995),Drama
108,Anne Frank Remembered (1995),Documentary
109,"Young Poisoner's Handbook, The (1995)",Crime|Drama
110,If Lucy Fell (1996),Comedy|Romance
111,"Steal Big, Steal Little (1995)",Comedy
112,Race the Sun (1996),Adventure|Comedy|Drama
113,"Boys of St. Vincent, The (1992)",Drama
114,Boomerang (1992),Comedy|Romance
115,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
116,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
117,Flirting With Disaster (1996),Comedy
118,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
119,Pie in the Sky (1996),Comedy|Romance
120,Frankie Starlight (1995),Drama|Romance
121,Jade (1995),Thriller
122,Down Periscope (1996),Comedy
123,Man of the Year (1995),Documentary
124,"Neon Bible, The (1995)",Drama
125,Up Close and Personal (1996),Drama|Romance
126,"Birdcage, The (1996)",Comedy
127,"Brothers McMullen, The (1995)",Comedy
128,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
129,"Amazing Panda Adventure, The (1995)",Adventure|Children
130,"Basketball Diaries, The (1995)",Drama
131,"Awfully Big Adventure, An (1995)",Drama
132,Amateur (1994),Crime|Drama|Thriller
133,Apollo 13 (1995),Adventure|Drama|IMAX
134,Rob Roy (1995),Action|Drama|Romance|War
135,"Addiction, The (1995)",Drama|Horror
136,Batman Forever (1995),Action|Adventure|Comedy|Crime
137,Beauty of the Day (Belle de jour) (1967),Drama
138,Beyond Rangoon (1995),Adventure|Drama|War
139,Blue in the Face (1995),Comedy|Drama
140,Canadian Bacon (1995),Comedy|War
141,Casper (1995),Adventure|Children
142,Clockers (1995),Crime|Drama|Mystery
143,Congo (1995),Action|Adventure|Mystery|Sci-Fi
144,Crimson Tide (1995),Drama|Thriller|War
145,Crumb (1994),Documentary
146,Desperado (1995),Action|Romance|Western
147,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
148,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
149,"Doom Generation, The (1995)",Comedy|Crime|Drama
150,First Knight (1995),Action|Drama|Romance
151,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
152,Hackers (1995),Action|Adventure|Crime|Thriller
153,Jeffrey (1995),Comedy|Drama
154,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
155,Judge Dredd (1995),Action|Crime|Sci-Fi
156,Jury Duty (1995),Comedy
157,Kids (1995),Drama
158,Living in Oblivion (1995),Comedy
159,Lord of Illusions (1995),Horror
160,Love & Human Remains (1993),Comedy|Drama
161,Mad Love (1995),Drama|Romance
162,Mallrats (1995),Comedy|Romance
163,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
164,Moonlight and Valentino (1995),Drama|Romance
165,Mute Witness (1994),Comedy|Horror|Thriller
166,Nadja (1994),Drama
167,"Net, The (1995)",Action|Crime|Thriller
168,Nine Months (1995),Comedy|Romance
169,Party Girl (1995),Comedy
170,"Prophecy, The (1995)",Fantasy|Horror|Mystery
171,Reckless (1995),Comedy|Fantasy
172,Safe (1995),Thriller
173,"Scarlet Letter, The (1995)",Drama|Romance
174,Showgirls (1995),Drama
175,Smoke (1995),Comedy|Drama
176,Something to Talk About (1995),Comedy|Drama|Romance
177,Species (1995),Horror|Sci-Fi
178,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
179,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
180,"Tie That Binds, The (1995)",Thriller
181,Three Wishes (1995),Drama|Fantasy
182,Total Eclipse (1995),Drama|Romance
183,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
184,Under Siege 2: Dark Territory (1995),Action
185,Unstrung Heroes (1995),Comedy|Drama
186,Unzipped (1995),Documentary
187,"Walk in the Clouds, A (1995)",Drama|Romance
188,Waterworld (1995),Action|Adventure|Sci-Fi
189,White Man's Burden (1995),Drama
190,Wild Bill (1995),Western
191,"Browning Version, The (1994)",Drama
192,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
193,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
194,Before the Rain (Pred dozhdot) (1994),Drama|War
195,Before Sunrise (1995),Drama|Romance
196,Billy Madison (1995),Comedy
197,"Babysitter, The (1995)",Drama|Thriller
198,Boys on the Side (1995),Comedy|Drama
199,"Cure, The (1995)",Drama
200,Castle Freak (1995),Horror
201,Circle of Friends (1995),Drama|Romance
202,Clerks (1994),Comedy
203,Don Juan DeMarco (1995),Comedy|Drama|Romance
204,Disclosure (1994),Drama|Thriller
205,Drop Zone (1994),Action|Thriller
206,Destiny Turns on the Radio (1995),Comedy
207,Death and the Maiden (1994),Drama|Thriller
208,Dolores Claiborne (1995),Drama|Thriller
209,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
210,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
211,Exotica (1994),Drama
212,Exit to Eden (1994),Comedy
213,Ed Wood (1994),Comedy|Drama
214,French Kiss (1995),Action|Comedy|Romance
215,Forget Paris (1995),Comedy|Romance
216,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
217,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
218,Hideaway (1995),Thriller
219,Fluke (1995),Children|Drama
220,Farinelli: il castrato (1994),Drama|Musical
221,Gordy (1995),Children|Comedy|Fantasy
222,Gumby: The Movie (1995),Animation|Children
223,The Glass Shield (1994),Crime|Drama
224,Hoop Dreams (1994),Documentary
225,Heavenly Creatures (1994),Crime|Drama
226,Houseguest (1994),Comedy
227,Immortal Beloved (1994),Drama|Romance
228,Heavyweights (Heavy Weights) (1995),Children|Comedy
229,"Hunted, The (1995)",Action
230,I.Q. (1994),Comedy|Romance
231,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
232,Jefferson in Paris (1995),Drama
233,"Jerky Boys, The (1995)",Comedy
234,Junior (1994),Comedy|Sci-Fi
235,Just Cause (1995),Mystery|Thriller
236,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
237,Kiss of Death (1995),Crime|Drama|Thriller
238,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
239,Little Women (1994),Drama
240,"Little Princess, A (1995)",Children|Drama
241,Ladybird Ladybird (1994),Drama
242,"Enfer, L' (1994)",Drama
243,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
244,Legends of the Fall (1994),Drama|Romance|War|Western
245,Major Payne (1995),Comedy
246,Little Odessa (1994),Crime|Drama
247,My Crazy Life (Mi vida loca) (1993),Drama
248,Love Affair (1994),Drama|Romance
249,Losing Isaiah (1995),Drama
250,"Madness of King George, The (1994)",Comedy|Drama
251,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
252,Man of the House (1995),Comedy
253,Mixed Nuts (1994),Comedy
254,Milk Money (1994),Comedy|Romance
255,Miracle on 34th Street (1994),Drama
256,Miami Rhapsody (1995),Comedy
257,My Family (1995),Drama
258,Murder in the First (1995),Drama|Thriller
259,Nobody's Fool (1994),Comedy|Drama|Romance
260,Nell (1994),Drama
261,New Jersey Drive (1995),Crime|Drama
262,Nina Takes a Lover (1994),Comedy|Romance
263,Natural Born Killers (1994),Action|Crime|Thriller
264,Only You (1994),Comedy|Romance
265,Once Were Warriors (1994),Crime|Drama
266,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
267,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
268,"Perez Family, The (1995)",Comedy|Romance
269,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
270,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
271,Panther (1995),Drama
272,Pushing Hands (Tui shou) (1992),Drama
273,Priest (1994),Drama
274,Quiz Show (1994),Drama
275,Picture Bride (Bijo photo) (1994),Drama|Romance
276,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
277,"Quick and the Dead, The (1995)",Action|Thriller|Western
278,Roommates (1995),Comedy|Drama
279,Ready to Wear (Pret-A-Porter) (1994),Comedy
280,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
281,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
282,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
283,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
284,Rent-a-Kid (1995),Comedy
285,Stuart Saves His Family (1995),Comedy
